Date : 2023-12-14 22:29:02
Directory : /Users/andrearizza/Desktop/react/wehub/src
Total : 141 files,  13658 codes, 730 comments, 2202 blanks, all 16590 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |        103 |     11,475 |        658 |      1,780 |     13,913 |
| CSS            |         30 |      1,954 |          5 |        366 |      2,325 |
| JavaScript     |          7 |        226 |         67 |         55 |        348 |
| XML            |          1 |          3 |          0 |          1 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |        141 |     13,658 |        730 |      2,202 |     16,590 |
| . (Files)                                                                                        |          9 |        204 |         67 |         55 |        326 |
| components                                                                                       |         56 |      6,139 |        145 |        610 |      6,894 |
| components (Files)                                                                               |         26 |      3,452 |         88 |        342 |      3,882 |
| components/button                                                                                |         17 |        453 |          0 |         70 |        523 |
| components/searchBox                                                                             |         13 |      2,234 |         57 |        198 |      2,489 |
| images                                                                                           |          1 |          3 |          0 |          1 |          4 |
| pages                                                                                            |         47 |      5,376 |        513 |      1,177 |      7,066 |
| pages (Files)                                                                                    |         19 |      1,875 |        425 |        346 |      2,646 |
| pages/AggiungiPagine                                                                             |         11 |      1,221 |         66 |        412 |      1,699 |
| pages/DettaglioPagine                                                                            |          8 |      1,303 |         16 |        184 |      1,503 |
| pages/ModificaPagine                                                                             |          9 |        977 |          6 |        235 |      1,218 |
| styles                                                                                           |         28 |      1,936 |          5 |        359 |      2,300 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                         | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/andrearizza/Desktop/react/wehub/src/App.css                                               | CSS            |          6 |          0 |          5 |         11 |
| /Users/andrearizza/Desktop/react/wehub/src/App.js                                                | JavaScript     |        106 |         60 |         35 |        201 |
| /Users/andrearizza/Desktop/react/wehub/src/App.test.js                                           | JavaScript     |          7 |          0 |          2 |          9 |
| /Users/andrearizza/Desktop/react/wehub/src/RegisterComponent.jsx                                 | JavaScript JSX |         38 |          0 |          3 |         41 |
| /Users/andrearizza/Desktop/react/wehub/src/components/BasicDataPicker.jsx                        | JavaScript JSX |         48 |          0 |          2 |         50 |
| /Users/andrearizza/Desktop/react/wehub/src/components/BoxUser.jsx                                | JavaScript JSX |        147 |          0 |          5 |        152 |
| /Users/andrearizza/Desktop/react/wehub/src/components/CustomCalendar.jsx                         | JavaScript JSX |         34 |          0 |          6 |         40 |
| /Users/andrearizza/Desktop/react/wehub/src/components/CustomCalendar2.jsx                        | JavaScript JSX |         42 |          0 |          5 |         47 |
| /Users/andrearizza/Desktop/react/wehub/src/components/DynamicForm.jsx                            | JavaScript JSX |        181 |          0 |         10 |        191 |
| /Users/andrearizza/Desktop/react/wehub/src/components/LoginComponent.jsx                         | JavaScript JSX |         83 |          0 |         11 |         94 |
| /Users/andrearizza/Desktop/react/wehub/src/components/LogoutComponent.jsx                        | JavaScript JSX |         55 |          0 |         11 |         66 |
| /Users/andrearizza/Desktop/react/wehub/src/components/LogoutPopUp.jsx                            | JavaScript JSX |         59 |          0 |          3 |         62 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyBox.jsx                                  | JavaScript JSX |        207 |          0 |          8 |        215 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyBox2.jsx                                 | JavaScript JSX |        150 |          0 |          6 |        156 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyBoxGroups.jsx                            | JavaScript JSX |        271 |          0 |         18 |        289 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyBoxMIU.jsx                               | JavaScript JSX |        278 |         16 |         24 |        318 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyButton.jsx                               | JavaScript JSX |         37 |          0 |          3 |         40 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyDataGrid.jsx                             | JavaScript JSX |         89 |          7 |         16 |        112 |
| /Users/andrearizza/Desktop/react/wehub/src/components/MyPopUp.jsx                                | JavaScript JSX |         88 |          4 |          6 |         98 |
| /Users/andrearizza/Desktop/react/wehub/src/components/ProvaComponente.jsx                        | JavaScript JSX |        306 |         13 |         36 |        355 |
| /Users/andrearizza/Desktop/react/wehub/src/components/RegisterComponent.jsx                      | JavaScript JSX |        140 |          3 |         23 |        166 |
| /Users/andrearizza/Desktop/react/wehub/src/components/SearchBox.jsx                              | JavaScript JSX |        199 |         16 |          8 |        223 |
