Date : 2023-12-31 14:43:19
Directory : /Users/andrearizza/Desktop/react/wehub/src
Total : 108 files,  8494 codes, 1266 comments, 2016 blanks, all 11776 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/FieldBoxFunzionanteFile.jsx       | JavaScript JSX |        387 |         69 |         82 |        538 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/FormComponent.jsx                 | JavaScript JSX |         57 |          4 |          9 |         70 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/IntervisteFunzionante.jsx         | JavaScript JSX |        163 |          6 |         29 |        198 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/InvioAllegati.jsx                 | JavaScript JSX |        119 |          7 |         35 |        161 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/ListaNeed.jsx                     | JavaScript JSX |        145 |          1 |         18 |        164 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/ModificaStaffingFunzionante.jsx   | JavaScript JSX |        315 |         21 |         98 |        434 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/MyBoxGroupsFunzionante.jsx        | JavaScript JSX |        271 |          1 |         20 |        292 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/NeedMatchSearchBoxFunzionante.jsx | JavaScript JSX |        220 |          7 |         20 |        247 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/NeedSearchBox2.jsx                | JavaScript JSX |        263 |          9 |         31 |        303 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/NeedSearchBoxFunzionante.jsx      | JavaScript JSX |        248 |          5 |         19 |        272 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/SidebarFunzionante.jsx            | JavaScript JSX |        519 |          7 |         42 |        568 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/indexFunzionante.js               | JavaScript     |         12 |          4 |          6 |         22 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiBackup/recruitingFunzionante.jsx         | JavaScript JSX |        236 |          3 |         30 |        269 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiReduxProva/AggiungiIncontroRedux.jsx     | JavaScript JSX |        183 |         52 |         73 |        308 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiReduxProva/AggiungiNeedRedux.jsx         | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiReduxProva/IntervisteRedux.jsx           | JavaScript JSX |        167 |          5 |         22 |        194 |
| /Users/andrearizza/Desktop/react/wehub/src/components/componentiReduxProva/RecruitingRedux.jsx           | JavaScript JSX |        242 |          6 |         41 |        289 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/AssociazioniSearchBox.jsx                | JavaScript JSX |          0 |          0 |          5 |          5 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/AttivitaTable.jsx                        | JavaScript JSX |         28 |          0 |          3 |         31 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/AziendeSearchBox.jsx                     | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/FatturazioneAttivaSearchBox.jsx          | JavaScript JSX |          6 |          0 |          1 |          7 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/FatturazionePassivaSearchBox.jsx         | JavaScript JSX |          2 |          0 |          2 |          4 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/FornitoriSearchBox.jsx                   | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/HRSearchBox.jsx                          | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/IntervisteSearchBox.jsx                  | JavaScript JSX |         36 |         17 |         18 |         71 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/KeyPeopleSearchBox.jsx                   | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/ListaNeedSearchBox.jsx                   | JavaScript JSX |        246 |          8 |         33 |        287 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/NeedMatchSearchBox.jsx                   | JavaScript JSX |         13 |         -1 |          2 |         14 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/NeedSearchBox.jsx                        | JavaScript JSX |         28 |          3 |          4 |         35 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/ProgettiSearchBox.jsx                    | JavaScript JSX |          1 |          0 |          2 |          3 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/RecruitingSearchBox.jsx                  | JavaScript JSX |          0 |          0 |          7 |          7 |
| /Users/andrearizza/Desktop/react/wehub/src/components/searchBox/TesoreriaSearchBox.jsx                   | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/index.js                                                      | JavaScript     |          4 |         -2 |          0 |          2 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiAzienda.jsx                      | JavaScript JSX |         -6 |         20 |         -7 |          7 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiCandidato.jsx                    | JavaScript JSX |         24 |        113 |         26 |        163 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiContatto.jsx                     | JavaScript JSX |         -9 |          1 |        -14 |        -22 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiDipendente.jsx                   | JavaScript JSX |          3 |        128 |         14 |        145 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiFatturazioneAttiva.jsx           | JavaScript JSX |         21 |          2 |          4 |         27 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiFatturazionePassiva.jsx          | JavaScript JSX |         -1 |          1 |         -9 |         -9 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiFornitore.jsx                    | JavaScript JSX |         -2 |          1 |         -7 |         -8 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiIncontro.jsx                     | JavaScript JSX |        105 |         63 |         49 |        217 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiIntervista.jsx                   | JavaScript JSX |        194 |          9 |         57 |        260 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiNeed.jsx                         | JavaScript JSX |         -5 |         37 |          0 |         32 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiNeedID.jsx                       | JavaScript JSX |        204 |         28 |         91 |        323 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AggiungiPagine/AggiungiProgetto.jsx                     | JavaScript JSX |        -39 |          1 |        -10 |        -48 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/Aziende.jsx                                             | JavaScript JSX |          5 |          3 |          1 |          9 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/AziendeProva.jsx                                        | JavaScript JSX |        160 |         26 |         42 |        228 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/Associazioni.jsx                        | JavaScript JSX |         29 |          9 |         12 |         50 |
