"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/ClipButton.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 5, 42
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/DeleteButton.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 3, 28
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/EditButton.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 5, 42
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/EuroButton.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 4, 29
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/ListButton.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 5, 42
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/NoteButton.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 4, 29
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/PaperButton.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 7, 33
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/PersonInfoButton.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 5, 39
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/SaveButton.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 3, 28
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/SearchButton.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 5, 40
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/SmileGreenIcon.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 3, 13
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/SmileOrangeIcon.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 2, 12
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/SmileRedIcon.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 2, 12
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/TimesheetButton.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 3, 32
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/button/VisibilityButton.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 6, 41
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/card/AttivitaCard.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 4, 76
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/card/ComunicazioniCard.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 3, 44
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/card/ContattiCard.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 5, 63
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/card/InformazioniAziendaCard.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 3, 44
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/card/InformazioniKeypeopleCard.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 3, 44
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/card/NeedCard.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 5, 75
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiReduxProva/AggiungiIncontroRedux.jsx", "JavaScript JSX", 0, 183, 0, 0, 52, 73, 308
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiReduxProva/AggiungiNeedRedux.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiReduxProva/IntervisteRedux.jsx", "JavaScript JSX", 0, 167, 0, 0, 5, 22, 194
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/componentiReduxProva/RecruitingRedux.jsx", "JavaScript JSX", 0, 242, 0, 0, 6, 41, 289
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/AssociazioniSearchBox.jsx", "JavaScript JSX", 0, 150, 0, 0, 4, 19, 173
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/AttivitaTable.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 3, 31
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/AziendeSearchBox.jsx", "JavaScript JSX", 0, 216, 0, 0, 5, 38, 259
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/FatturazioneAttivaSearchBox.jsx", "JavaScript JSX", 0, 153, 0, 0, 3, 18, 174
"/Users/andrearizza/Desktop/react/gitreact/we-hub-react/src/components/searchBox/FatturazionePassivaSearchBox.jsx", "JavaScript JSX", 0, 153, 0, 0, 3, 18, 174
